,/topic/x,/topic/y,/topic/z
1604580301.84,-0.279671803577,-0.0879538610157,0.0439632953604
1604580301.85,-0.296323601342,-0.0783566937816,0.0472321993689
1604580301.86,-0.304584814126,-0.0726349436403,0.0497067586152
1604580301.87,-0.326358091087,-0.0735507176158,0.0466787177519
1604580301.88,-0.325811389333,-0.0677382489682,0.0486516140743
1604580301.89,-0.334424299022,-0.0528760952521,0.0503501093545
1604580301.9,-0.336891436508,-0.0530234793175,0.0503056030519
1604580301.91,-0.360524948512,-0.0369004564184,0.0479839460264
1604580301.92,-0.365544561608,-0.0313408812932,0.045070587804
1604580301.93,-0.381024349226,-0.0266911450495,0.0414928992076
1604580301.94,-0.388134889201,-0.0117458541382,0.0468235522843
1604580301.95,-0.390575849079,-0.00697594093766,0.048740237799
1604580301.97,-0.413910894104,-0.00800099229841,0.0458137175971
1604580301.98,-0.411082890017,-0.00783082350237,0.0458724301683
1604580301.99,-0.412682797717,-0.0028734299489,0.0476012794413
1604580302.0,-0.417375699703,0.00682230330856,0.048536125726
1604580302.01,-0.429966641245,0.00605629339524,0.0483027881355
1604580302.02,-0.434587542945,0.0111613976293,0.0499185455067
1604580302.03,-0.434443683324,0.0111701528212,0.0499212049715
1604580302.04,-0.441735253319,0.0159716117567,0.0517474839341
1604580302.05,-0.441929969544,0.0159596715037,0.0517436671985
1604580302.06,-0.441845876455,0.0111642398485,0.0500148108683
1604580302.07,-0.442379962893,0.00981072267146,0.0493679068899
1604580302.08,-0.442478974375,0.0098048072539,0.0493662775946
1604580302.09,-0.439722660867,0.0107559247076,0.0498975039443
1604580302.1,-0.439578797153,0.0107646203703,0.0499001371811
1604580302.11,-0.442243791677,0.0106035381019,0.0498513579484
1604580302.12,-0.442186171007,0.0107604273405,0.0501149416255
1604580302.13,-0.442382525573,0.0107484263681,0.0501111018143
1604580302.14,-0.440050381242,0.0116876598504,0.0504312386166
1604580302.15,-0.442520052793,0.0115398241309,0.0503792105427
1604580302.16,-0.440291061009,0.0116732526445,0.0504261682644
1604580302.17,-0.442214567594,0.0103809578592,0.0496244963072
1604580302.19,-0.439791351885,0.0105273912292,0.0496691588611
1604580302.2,-0.439693985474,0.0105332750189,0.049670953432
1604580302.21,-0.439842419203,0.0108664197355,0.0500728630024
1604580302.22,-0.442457640914,0.0107088957045,0.050023239766
1604580302.23,-0.442364097203,0.0107145301723,0.0500250147366
1604580302.24,-0.442444690285,0.0111203854005,0.050130498496
